#Detrending for the temperature dependent PSF, observed in BRITE photometry, done on 2016-03-21 15:16:1458569799.
#This file contains the corrected flux and the correction which has been applied in order to deduce it.
#The adopted technique is to:
#1. split the observations in smaller time bins, which have been selected according to the long term temperature variations and (possibly) too long gaps.
#2. perform 1D fits within each bin for flux vs xPOS and flux vs yPOS -- !!always both!! --.
#Now, on to the header for each columnn:
#----------------------------------------
#Column1: time measurements [d]
#Column2: original, uncorrected flux [adu]
#Column3: corrected flux [adu]
#Column4: derived correction, applied to the flux [adu]
#----------------------------------------
2.457057461692e+06 1.2643883e+05 1.2707016e+05 -6.3132407e+02
2.457057461927e+06 1.2763309e+05 1.2672402e+05 9.0906579e+02
2.457057462162e+06 1.2463421e+05 1.2665862e+05 -2.0244109e+03
2.457057462397e+06 1.2490059e+05 1.2553859e+05 -6.3799957e+02
2.457057462632e+06 1.2803765e+05 1.2688772e+05 1.1499214e+03
2.457057462867e+06 1.2669926e+05 1.2627866e+05 4.2059574e+02
2.457057463103e+06 1.2689616e+05 1.2624957e+05 6.4659301e+02
2.457057463338e+06 1.2742213e+05 1.2717315e+05 2.4898471e+02
2.457057463573e+06 1.2572628e+05 1.2632843e+05 -6.0214273e+02
2.457057463808e+06 1.2477675e+05 1.2626546e+05 -1.4887087e+03
2.457057464043e+06 1.2631289e+05 1.2633982e+05 -2.6927183e+01
2.457057464278e+06 1.2564421e+05 1.2656389e+05 -9.1968171e+02
2.457057464514e+06 1.2535212e+05 1.2644904e+05 -1.0969224e+03
2.457057464749e+06 1.2570949e+05 1.2595093e+05 -2.4143278e+02
2.457057464984e+06 1.2726333e+05 1.2594004e+05 1.3232841e+03
2.457057465219e+06 1.2743692e+05 1.2679167e+05 6.4525373e+02
2.457057465453e+06 1.2826296e+05 1.2650190e+05 1.7610677e+03
2.457057465688e+06 1.2900308e+05 1.2707167e+05 1.9314091e+03
2.457057465924e+06 1.2854183e+05 1.2652747e+05 2.0143595e+03
2.457057466159e+06 1.2736089e+05 1.2658521e+05 7.7567610e+02
2.457057466394e+06 1.2541656e+05 1.2622220e+05 -8.0564582e+02
2.457057466629e+06 1.2721516e+05 1.2638587e+05 8.2929256e+02
2.457057466864e+06 1.2487585e+05 1.2589294e+05 -1.0170816e+03
2.457057467099e+06 1.2537637e+05 1.2592769e+05 -5.5132289e+02
2.457057467334e+06 1.2572408e+05 1.2577947e+05 -5.5384371e+01
2.457057467570e+06 1.2539519e+05 1.2591772e+05 -5.2252866e+02
2.457057467805e+06 1.2671595e+05 1.2637391e+05 3.4203359e+02
2.457057468040e+06 1.2826367e+05 1.2685189e+05 1.4117810e+03
2.457057468275e+06 1.2648892e+05 1.2631272e+05 1.7619809e+02
2.457057468510e+06 1.2787795e+05 1.2690784e+05 9.7011358e+02
2.457057468745e+06 1.2788290e+05 1.2702363e+05 8.5926544e+02
2.457057468981e+06 1.2774776e+05 1.2681324e+05 9.3451615e+02
2.457057469216e+06 1.2801736e+05 1.2702947e+05 9.8789675e+02
2.457057469451e+06 1.2784710e+05 1.2700301e+05 8.4408308e+02
2.457057469686e+06 1.2709571e+05 1.2688371e+05 2.1199306e+02
